,,,,経常収支 (a+b+c),,,,,,,,資本移転等収支,金融収支 ,,,,,,誤差脱漏
,,,,Current account (a+b+c),,,,,,,,Capital account,Financial account ,,,,,,Net errors & omissions
,,,,,(a)貿易・サービス収支,,,,,(b)第一次所得収支,(c)第二次所得収支,,,直接投資,証券投資,金融派生商品,その他投資,外貨準備,
,,,,,(a)Goods & services,,,,,(b)Primary income,(c)Secondary income,,,Direct investment,Portfolio investment,Financial derivatives(other than reserves),Other investment,Reserve assets,
,,,,,,貿易収支,,,サービス収支,,,,,,,,,,
,7月,,Jul,"12,940","8,876","14,895","43,476","28,582","-6,018","4,923",-860,-371,"3,604","2,536","12,602",205,"-13,538","1,799","-8,965"
,8月,,Aug,"11,438","5,654","11,228","37,997","26,769","-5,574","6,531",-748,-716,"9,585","1,570","7,351",372,"-1,561","1,854","-1,136"
,9月,,Sep,"16,040","11,099","17,201","43,699","26,499","-6,102","5,898",-957,"-8,916","8,150","-3,102","26,320","-1,733","-14,906","1,571","1,026"
,10月,,Oct,"10,730","7,990","15,242","41,650","26,408","-7,252","3,871","-1,131",-461,"6,864","1,770","-22,251","-3,174","28,944","1,575","-3,406"
,11月,,Nov,"10,646","6,170","10,539","35,215","24,676","-4,369","5,274",-798,-784,"17,137",328,"-17,357","-1,935","34,047","2,054","7,274"
,12月,,Dec,"14,115","10,784","15,581","39,263","23,682","-4,797","4,475","-1,144",-409,-920,"4,101","-2,296",358,"-3,716",633,"-14,626"
平成11年,1月,1999,Jan,"7,293","4,119","9,394","32,968","23,575","-5,275","3,997",-823,-576,"15,481","1,347","1,090",367,"4,362","8,315","8,765"
,2月,,Feb,"10,659","6,127","10,981","34,262","23,280","-4,854","5,226",-694,"-1,004","17,398",183,"8,063","1,071","7,650",432,"7,743"
,3月,,Mar,"12,364","10,356","14,618","40,931","26,313","-4,263","7,104","-5,095","-6,727","6,065",235,"9,792","2,494","-8,580","2,125",428
,4月,,Apr,"9,085","5,455","11,808","38,423","26,615","-6,353","4,349",-718,-232,"3,572",934,"-23,253",884,"23,611","1,397","-5,280"
,5月,,May,"10,555","4,972","9,549","33,898","24,349","-4,577","6,203",-620,"-3,743","8,737",-889,"-5,298",805,"12,840","1,279","1,925"
,6月,,Jun,"13,804","8,816","13,081","38,836","25,755","-4,265","5,781",-793,-123,"16,470","1,743","14,007",-677,"-26,483","27,880","2,789"
,7月,,Jul,"13,366","8,344","13,914","40,110","26,195","-5,570","5,864",-842,-495,"8,161","1,056","-24,942",-147,"16,757","15,437","-4,710"
,8月,,Aug,"8,062","2,178","8,662","35,540","26,879","-6,484","6,684",-799,-585,"16,231","1,535","5,036",-461,"8,872","1,249","8,753"
,9月,,Sep,"13,272","9,710","15,436","40,872","25,436","-5,726","4,539",-977,"-4,704","4,883",772,"36,371",781,"-44,292","11,250","-3,685"
,10月,,Oct,"10,730","7,027","13,273","39,297","26,024","-6,246","4,593",-890,-238,"12,650",874,"-18,089","-2,699","31,566",998,"2,159"
,11月,,Nov,"9,137","3,997","8,077","36,962","28,884","-4,080","5,861",-721,-234,"15,404","1,049","3,737","-1,048","10,688",979,"6,501"
,12月,,Dec,"11,407","7,550","12,577","40,448","27,871","-5,027","4,752",-895,-426,"5,777","1,766","23,506","1,936","-38,054","16,623","-5,204"
平成12年,1月,2000,Jan,"7,115","2,451","6,621","33,370","26,749","-4,171","5,469",-804,-803,"14,554","1,968","-43,318",205,"48,779","6,920","8,242"
,2月,,Feb,"15,578","9,486","12,957","39,109","26,152","-3,471","6,758",-665,-625,"19,674",407,-12,498,"16,965","1,817","4,721"
,3月,,Mar,"13,939","8,510","12,937","44,911","31,974","-4,427","7,539","-2,109","-3,458","9,590","-2,116","16,942",706,"-18,025","12,083",-891
,4月,,Apr,"13,854","7,682","13,086","41,664","28,578","-5,405","7,118",-945,-304,"19,759","7,214","-16,293",-821,"14,899","14,759","6,209"
,5月,,May,"10,257","3,149","7,259","36,639","29,381","-4,110","7,774",-665,-222,"22,223","3,535","22,954",611,"-7,053","2,176","12,188"
,6月,,Jun,"14,190","9,715","13,196","42,541","29,345","-3,481","4,763",-288,-467,"9,186","4,504","38,310",327,"-35,248","1,293","-4,537"
,7月,,Jul,"12,667","7,116","11,690","40,969","29,279","-4,574","6,249",-698,-149,"10,020","2,396","2,418",-283,"4,004","1,484","-2,498"
,8月,,Aug,"11,828","3,446","7,988","39,748","31,760","-4,542","9,113",-731,-289,"7,986","2,050","-1,496",724,"4,805","1,904","-3,554"
,9月,,Sep,"14,280","10,113","14,831","44,319","29,488","-4,718","5,182","-1,015","-2,680","7,709","12,078","16,492",-422,"-24,331","3,892","-3,891"
,10月,,Oct,"8,077","3,092","8,753","42,185","33,432","-5,660","5,740",-755,-196,"11,207",669,"-2,068",396,"10,332","1,879","3,325"
,11月,,Nov,"10,164","3,980","7,846","40,342","32,496","-3,866","6,951",-766,-285,"10,701","1,062","5,178","2,155","-1,191","3,497",821
,12月,,Dec,"8,664","5,559","9,820","43,838","34,018","-4,261","4,258","-1,154",-469,"6,148","3,134",-638,994,"1,752",905,"-2,047"
平成13年,1月,2001,Jan,"2,722","-4,276",989,"34,322","33,333","-5,266","7,569",-570,-170,"10,291","11,526","-9,519",233,"5,856","2,195","7,739"
,2月,,Feb,"14,114","6,648","10,485","39,517","29,031","-3,838","7,853",-387,-187,"8,450","1,176","-11,137","1,610","16,062",739,"-5,476"
