,Date,Value,Series_Code,Series_Name,Unit,Frequency
81,202010,16976.19888,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
82,202011,-35.57675,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
83,202012,-371.456664,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
84,202101,7329.73807,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
85,202102,1497.85063,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
86,202103,-5956.61905,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
87,202104,20564.76492,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
88,202105,-6093.68492,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
89,202106,9.51501,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
90,202107,1976.23705,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
91,202108,7.63738,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
92,202109,-11776.34019,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
93,202110,26767.04851,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
94,202111,-777.13029896,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
95,202112,-12822.48572,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
96,202201,5722.08371,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
97,202202,-8394.76999,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
98,202203,-24690.3155,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
99,202204,34331.34758,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
100,202205,-3668.20107,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
101,202206,-15637.41745,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
102,202207,10944.34422,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
103,202208,-7105.85679,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
104,202209,-29671.37186,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
105,202210,20771.13004,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
106,202211,8957.00138,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
107,202212,1928.56957,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
108,202301,2671.30994,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
109,202302,-2393.48044,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
110,202303,-35848.18601,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
111,202304,49780.0528,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
112,202305,27811.58915,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
113,202306,18195.85673,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
