,,,,株式・投資ファンド持分,,,中長期債,,,短期債,,,合計,,,,,,株式・投資ファンド持分,,,中長期債,,,短期債,,,合計
,,,,Equity and investment fund shares,,,Long-term debt securities,,,Short-term debt securities,,,Total,,,,,,Equity and investment fund shares,,,Long-term debt securities,,,Short-term debt securities,,,Total
,,,,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,ネット,,,,,,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,ネット
,,,,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Net,,,,,,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Net
（暦年）,,,,,,,,,,,,,,,（暦年）,,,,,,,,,,,,,
(Annual figures),,,,,,,,,,,,,,,(Annual figures),,,,,,,,,,,,,
,3月,,Mar,          --,          --,"-1,995",          --,          --,"13,585",          --,          --,"2,183","13,772",,,3月,,Mar,          --,          --,"-1,779",          --,          --,-695,          --,          --,-695,"-3,169"
,4月,,Apr,          --,          --,"2,465",          --,          --,"-5,292",          --,          --,"2,415",-411,,,4月,,Apr,          --,          --,"1,572",          --,          --,"9,194",          --,          --,"5,115","15,882"
,5月,,May,          --,          --,"1,607",          --,          --,"4,928",          --,          --,"7,580","14,115",,,5月,,May,          --,          --,"-8,751",          --,          --,"-2,991",          --,          --,"2,903","-8,839"
,6月,,Jun,          --,          --,"3,401",          --,          --,"30,503",          --,          --,"8,616","42,520",,,6月,,Jun,          --,          --,"-3,563",          --,          --,"7,576",          --,          --,198,"4,210"
,7月,,Jul,          --,          --,"5,781",          --,          --,"8,908",          --,          --,"-4,601","10,088",,,7月,,Jul,          --,          --,-324,          --,          --,"-4,811",          --,          --,"12,805","7,670"
,8月,,Aug,          --,          --,-749,          --,          --,"10,458",          --,          --,"1,880","11,588",,,8月,,Aug,          --,          --,-330,          --,          --,"15,981",          --,          --,"-2,568","13,084"
,9月,,Sep,          --,          --,"1,224",          --,          --,"10,382",          --,          --,"-1,088","10,518",,,9月,,Sep,          --,          --,"-5,307",          --,          --,-231,          --,          --,-436,"-5,975"
,10月,,Oct,          --,          --,"7,058",          --,          --,"-2,657",          --,          --,232,"4,634",,,10月,,Oct,          --,          --,"4,582",          --,          --,"7,220",          --,          --,"-5,100","6,702"
,11月,,Nov,          --,          --,55,          --,          --,"8,388",          --,          --,"-2,039","6,404",,,11月,,Nov,          --,          --,"3,178",          --,          --,"18,464",          --,          --,"-20,416","1,226"
,12月,,Dec,          --,          --,"4,178",          --,          --,"-11,079",          --,          --,333,"-6,568",,,12月,,Dec,          --,          --,-758,          --,          --,"6,075",          --,          --,"-11,247","-5,930"
