,,,,Total（a+b+c+ｄ),,,中央銀行,,,預金取扱機関,,,,,,,,,一般政府,,,その他部門,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Central bank (a),,,"Deposit-taking corporations,",,,銀行等（銀行勘定）,,,信託銀行（銀行勘定）,,,General government (c),,,Other sectors （d),,,その他金融機関,,,,,,,,,,,,,,,,,,,,,その他,,
,,,,,,,,,,except the central bank(b),,,Banks（banking accounts),,,Trust banks(banking accounts）,,,,,,,,,Other financial corporations,,,銀行等（信託勘定）,,,信託銀行（信託勘定）,,,金融商品取引業者,,,生命保険会社,,,損害保険会社,,,投資信託委託会社等,,,Others,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banks（trust accounts）,,,Trust banks（trust accounts）,,,Financial instruments firms,,,Life insurance companies,,,Non-life insurance companies,,,Investment trust management companies,,,,,
,,,,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット
,,,,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net
,4月,,Apr,"14,574","13,765",809,          --,          --,          --,"1,174","2,076",-902,"1,174","2,076",-902,          --,0,0,          --,6,-6,"13,399","11,682","1,717","13,384","11,018","2,366",          --,          --,          --,"1,508","1,367",141,"7,933","6,181","1,752","3,379","2,816",563,          --,          --,          --,564,654,-91,15,664,-649
,5月,,May,"11,411","11,111",300,          --,          --,          --,"2,766","2,172",593,"2,766","2,172",593,          --,          --,          --,          --,          --,          --,"8,645","8,939",-294,"8,588","8,438",150,          --,          --,          --,881,550,332,"4,970","4,786",184,"2,107","2,487",-380,          --,          --,          --,630,615,15,58,501,-443
,6月,,Jun,"13,087","11,754","1,333",          --,          --,          --,"2,380","1,704",677,"2,380","1,704",677,          --,          --,          --,          --,          --,          --,"10,707","10,050",657,"10,699","9,310","1,389",          --,          --,          --,"1,519",976,543,"6,199","5,163","1,037","2,525","2,629",-104,          --,          --,          --,456,542,-87,8,741,-732
,7月,,Jul,"13,734","13,207",527,          --,          --,          --,"2,197","1,178","1,019","2,197","1,178","1,019",          --,0,0,          --,          --,          --,"11,537","12,028",-491,"11,489","11,058",431,          --,          --,          --,"1,329","1,225",104,"5,996","6,755",-759,"3,495","2,623",873,          --,          --,          --,668,455,213,48,970,-922
,8月,,Aug,"13,304","10,257","3,046",          --,          --,          --,"2,335","1,023","1,312","2,335","1,023","1,312",          --,          --,          --,          --,          --,          --,"10,969","9,234","1,734","10,913","8,458","2,456",          --,          --,          --,"1,882","1,425",457,"6,682","4,260","2,421","1,909","2,330",-421,          --,          --,          --,440,442,-2,55,777,-721
,9月,,Sep,"22,199","20,550","1,649",          --,          --,          --,"3,145","1,499","1,646","3,145","1,499","1,646",          --,          --,          --,          --,          --,          --,"19,054","19,050",3,"19,035","17,712","1,322",          --,          --,          --,"1,969","2,537",-568,"14,407","12,109","2,298","2,120","2,568",-448,          --,          --,          --,539,498,41,19,"1,338","-1,319"
,10月,,Oct,"12,687","12,690",-3,          --,          --,          --,"1,614","1,147",468,"1,614","1,147",468,          --,          --,          --,          --,          --,          --,"11,072","11,543",-471,"11,016","11,000",16,          --,          --,          --,"1,550","1,711",-161,"6,638","6,502",136,"2,212","2,034",178,12,          --,12,604,753,-149,57,543,-487
,11月,,Nov,"11,276","10,251","1,025",          --,          --,          --,"2,173","1,618",555,"2,173","1,618",555,          --,          --,          --,          --,          --,          --,"9,103","8,633",470,"9,079","7,711","1,369",          --,          --,          --,"1,288","1,081",207,"4,729","3,246","1,483","2,487","2,719",-233,20,31,-11,556,634,-78,23,922,-899
,12月,,Dec,"12,603","12,650",-47,          --,          --,          --,"1,818","2,211",-393,"1,818","2,211",-393,          --,          --,          --,          --,          --,          --,"10,785","10,439",346,"10,771","9,255","1,516",          --,          --,          --,912,764,148,"5,158","4,308",850,"4,049","3,799",250,          --,          --,          --,652,384,269,13,"1,184","-1,171"
平成27年,1月,2015,Jan,"20,926","17,844","3,082",          --,          --,          --,"6,414","4,242","2,172","6,414","4,231","2,183",          --,11,-11,          --,          --,          --,"14,512","13,602",910,"14,503","12,624","1,879",          --,          --,          --,"1,580","1,592",-12,"9,728","8,115","1,613","2,806","2,723",83,          --,          --,          --,389,195,194,9,978,-969
,2月,,Feb,"13,327","13,543",-216,          --,          --,          --,"1,825","2,616",-791,"1,825","2,616",-791,          --,          --,          --,          --,          --,          --,"11,502","10,927",575,"11,489","10,333","1,156",          --,          --,          --,"1,236",978,258,"7,970","6,537","1,433","1,672","2,287",-615,          --,          --,          --,611,531,80,13,595,-581
,3月,,Mar,"17,050","16,994",57,          --,          --,          --,"1,900","2,658",-758,"1,900","2,658",-758,          --,          --,          --,          --,          --,          --,"15,151","14,336",814,"15,134","12,969","2,165",          --,          --,          --,"1,184",791,393,"10,133","8,642","1,491","3,259","3,042",217,18,5,13,540,489,51,17,"1,367","-1,350"
,4月,,Apr,"15,600","13,326","2,274",          --,          --,          --,"1,396","1,824",-429,"1,396","1,824",-429,          --,          --,          --,          --,          --,          --,"14,205","11,502","2,703","14,193","10,993","3,200",          --,          --,          --,"4,074","2,863","1,211","6,810","4,805","2,005","2,894","2,760",135,5,10,-5,410,556,-146,12,509,-497
,5月,,May,"13,257","11,612","1,645",          --,          --,          --,893,"1,909","-1,016",893,"1,909","-1,016",          --,          --,          --,          --,          --,          --,"12,364","9,703","2,661","12,364","8,969","3,395",          --,          --,          --,"1,953","1,702",251,"6,585","3,845","2,740","3,127","2,860",267,          --,13,-13,699,550,150,          --,734,-734
,6月,,Jun,"10,719","11,557",-838,          --,          --,          --,397,"1,402","-1,005",397,"1,402","-1,005",          --,          --,          --,          --,          --,          --,"10,322","10,155",167,"10,321","9,166","1,155",          --,          --,          --,"1,461","1,808",-347,"6,024","3,982","2,043","2,488","2,827",-338,          --,          --,          --,347,550,-203,1,989,-988
,7月,,Jul,"8,597","8,946",-349,          --,          --,          --,988,"1,168",-180,988,"1,168",-180,          --,          --,          --,          --,          --,          --,"7,609","7,778",-170,"7,600","6,760",839,          --,          --,          --,735,"1,362",-627,"4,515","2,984","1,531","2,100","2,182",-82,          --,          --,          --,249,232,17,9,"1,018","-1,009"
,8月,,Aug,"12,673","10,887","1,786",          --,          --,          --,"1,890","1,775",115,"1,890","1,775",115,          --,          --,          --,          --,          --,          --,"10,783","9,112","1,671","10,773","8,412","2,361",          --,          --,          --,"2,107","1,308",799,"5,346","3,947","1,398","2,597","2,664",-67,          --,          --,          --,724,492,232,10,700,-691
,9月,,Sep,"19,635","19,305",330,          --,          --,          --,"3,097","3,088",9,"3,097","3,088",9,          --,          --,          --,          --,          --,          --,"16,537","16,217",320,"16,530","15,399","1,131",          --,          --,          --,"1,554","2,459",-906,"10,540","9,321","1,218","3,609","3,205",404,          --,          --,          --,828,414,414,7,818,-811
,10月,,Oct,"12,399","14,284","-1,885",          --,          --,          --,12,"2,520","-2,508",12,"2,520","-2,508",          --,          --,          --,          --,          --,          --,"12,388","11,764",624,"12,388","11,046","1,341",          --,          --,          --,"1,464","1,610",-146,"7,268","6,189","1,079","2,761","2,401",360,          --,15,-15,894,832,63,          --,718,-718
,11月,,Nov,"18,071","19,516","-1,445",          --,          --,          --,859,"1,097",-238,859,"1,097",-238,          --,          --,          --,          --,          --,          --,"17,213","18,419","-1,207","17,213","17,051",161,          --,          --,          --,"1,178",966,212,"13,298","12,367",931,"2,128","3,028",-900,          --,20,-20,609,670,-61,          --,"1,368","-1,368"
,12月,,Dec,"17,990","18,723",-733,          --,          --,          --,"1,305","1,526",-221,"1,305","1,526",-221,          --,          --,          --,          --,          --,          --,"16,685","17,198",-512,"16,685","15,756",929,          --,          --,          --,"1,417",975,442,"12,190","11,258",932,"2,793","3,020",-226,          --,20,-20,285,483,-198,          --,"1,441","-1,441"
