財務省　国際収支状況,,,,,,,,,,,
Ⅰ.季節調整済　国際収支の推移,,,,,,,,,,,
   （データ期間：平成8年～）,,,,,,,,,,,
6s-a-2 月次,,,,,,,,,,,
   (単位　億円）,,,,,,,,,,,
,,,,,,,,,,,
Japan's Balance of Payments,,,,,,,,,,,
Historical Data,,,,,,,,,,,
Ⅰ.Summary of balance of payments　,,,,,,,,,,,
   Current account (Seasonally-adjusted),,,,,,,,,,,
   (January 1996 - present),,,,,,,,,,,
6s-a-2 Monthly figures,,,,,,,,,,,
   (100 million Yen),,,,,,,,,,,
,,,,,,,,,,,
（備考） ,① （P）は速報値を示す。また、合計は四捨五入により合わないことがある。,,,,,,,,,,
,② 平成25年以前の計数は、国際収支マニュアル第5版準拠統計を第6版の基準により組み替えたもの。,,,,,,,,,,
,③ 年中の国際収支（第2次速報値）公表の翌月に詳細設定の見直し及び季節調整替えを実施し、1996年１月のデータから遡及改訂を行う。,,,,,,,,,,
,④令和8年4月8日付で、令和5年1月から令和7年9月までの計数について一部改訂を行っている。,,,,,,,,,,
(NOTE) ,① （P）shows preliminary figures.Totals may not add due to rounding.,,,,,,,,,,
,"② Until 2013, figures based on BPM5 are rearranged in accordance with BPM6.",,,,,,,,,,
,"③ In the following month of the release of annual BOP (second preliminary) data, data are seasonally adjusted and historical revisions are made from January 1996. ",,,,,,,,,,
,"④ Certain figures from January 2023 up to September 2025 are revised as of April 8, 2026.",,,,,,,,,,
,,,,,,,,,,,
,,,,経常収支,,,,,,,
,,,,Current account,,,,,,,
,,,,,貿易・サービス収支,,,,,第一次所得収支,第二次所得収支
,,,,,Goods & services,,,,,Primary income,Secondary income
,,,,,,貿易収支,,,サービス収支,,
,11月,,Nov,"14,791","6,246","9,721","49,434","39,712","-3,475","9,597","-1,053"
,12月,,Dec,"17,717","8,933","11,960","48,457","36,498","-3,026","9,467",-683
平成17年,1月,2005,Jan,"14,848","6,405","10,880","48,779","37,899","-4,475","9,547","-1,104"
,2月,,Feb,"16,365","7,415","10,757","48,480","37,723","-3,342","9,463",-513
,3月,,Mar,"13,002","6,762","10,380","49,841","39,461","-3,618","7,112",-872
,4月,,Apr,"16,392","7,277","10,616","51,311","40,695","-3,339","10,408","-1,294"
,5月,,May,"14,492","5,492","8,613","50,332","41,719","-3,121","9,661",-662
,6月,,Jun,"15,363","6,331","9,789","51,336","41,547","-3,458","9,546",-514
,7月,,Jul,"15,504","5,927","9,265","52,162","42,897","-3,338","10,084",-506
,8月,,Aug,"14,082","4,416","8,072","52,488","44,416","-3,656","10,556",-890
,9月,,Sep,"15,421","5,413","9,071","53,975","44,903","-3,659","10,275",-266
,10月,,Oct,"16,609","7,036","9,672","55,442","45,770","-2,636","10,488",-915
,11月,,Nov,"15,411","5,474","8,957","56,687","47,729","-3,483","10,615",-677
,12月,,Dec,"19,966","7,089","9,882","58,277","48,395","-2,793","12,640",237
平成18年,1月,2006,Jan,"16,827","5,784","7,904","55,794","47,890","-2,120","11,966",-923
,2月,,Feb,"16,967","5,950","8,937","58,579","49,642","-2,987","12,003",-986
,3月,,Mar,"16,819","6,475","9,221","58,707","49,485","-2,746","11,433","-1,088"
,4月,,Apr,"14,570","3,904","7,462","58,389","50,926","-3,558","11,584",-918
,5月,,May,"15,966","6,401","9,576","58,610","49,033","-3,175","10,739","-1,174"
,6月,,Jun,"16,316","5,408","8,798","58,239","49,441","-3,389","12,058","-1,151"
,7月,,Jul,"17,693","6,631","9,789","59,714","49,926","-3,158","12,100","-1,038"
,8月,,Aug,"16,500","5,288","8,732","60,510","51,778","-3,444","12,281","-1,069"
,9月,,Sep,"14,308","2,729","6,210","61,318","55,108","-3,481","12,532",-954
,10月,,Oct,"18,550","6,672","9,952","61,928","51,976","-3,281","12,841",-962
,11月,,Nov,"19,956","10,074","13,262","63,627","50,364","-3,188","10,851",-969
,12月,,Dec,"20,717","8,641","11,593","63,354","51,760","-2,952","13,189","-1,113"
平成19年,1月,2007,Jan,"20,813","8,024","11,845","64,639","52,794","-3,821","13,781",-991
,2月,,Feb,"17,610","5,689","9,116","64,425","55,308","-3,428","13,135","-1,213"
,3月,,Mar,"23,575","10,633","13,328","64,336","51,008","-2,695","14,170","-1,228"
,4月,,Apr,"23,447","9,610","13,523","64,319","50,796","-3,913","14,871","-1,035"
,5月,,May,"19,379","5,602","9,836","65,664","55,828","-4,234","14,799","-1,022"
,6月,,Jun,"19,872","7,286","10,510","66,816","56,306","-3,224","13,564",-977
,7月,,Jul,"18,182","6,501","10,454","66,233","55,780","-3,952","12,978","-1,298"
,8月,,Aug,"22,344","10,718","14,779","68,431","53,652","-4,061","12,763","-1,137"
,9月,,Sep,"21,296","9,420","12,608","67,480","54,872","-3,188","13,130","-1,254"
,10月,,Oct,"23,590","10,864","14,077","69,661","55,584","-3,214","13,744","-1,017"
,11月,,Nov,"20,213","9,425","13,064","69,214","56,150","-3,640","11,966","-1,178"
,12月,,Dec,"20,253","6,970","11,247","69,749","58,502","-4,277","14,598","-1,315"
平成20年,1月,2008,Jan,"20,301","7,533","11,472","69,357","57,886","-3,939","14,155","-1,386"
,2月,,Feb,"16,920","3,866","8,800","67,219","58,419","-4,934","14,183","-1,129"
,3月,,Mar,"18,947","5,674","8,996","68,016","59,020","-3,322","13,800",-526
,4月,,Apr,"13,970","4,370","7,062","65,093","58,031","-2,692","10,663","-1,063"
,5月,,May,"15,716","4,394","7,023","67,590","60,567","-2,629","12,220",-897
,6月,,Jun,"9,964",-478,"3,308","67,919","64,612","-3,785","11,621","-1,179"
,7月,,Jul,"12,611","1,816","4,565","69,661","65,096","-2,749","12,510","-1,715"
,8月,,Aug,"8,668","-1,404","1,254","70,006","68,752","-2,658","11,305","-1,232"
,9月,,Sep,"7,861","-2,116","1,611","68,909","67,298","-3,727","11,047","-1,069"
,10月,,Oct,"10,272",522,"3,014","63,999","60,985","-2,492","11,049","-1,298"
,11月,,Nov,"6,733","-2,810",-390,"52,889","53,279","-2,420","10,635","-1,092"
,12月,,Dec,"5,534","-3,893",75,"45,243","45,167","-3,968","10,417",-989
平成21年,1月,2009,Jan,"3,613","-5,956","-3,029","36,635","39,663","-2,928","10,513",-944
,2月,,Feb,"6,734","-2,376",717,"34,709","33,991","-3,093","9,610",-499
,3月,,Mar,"7,776","-1,651",861,"36,175","35,314","-2,512","10,518","-1,091"
,4月,,Apr,"8,859",537,"3,136","38,598","35,462","-2,599","9,500","-1,178"
,5月,,May,"10,205","1,297","4,896","39,870","34,973","-3,599","10,299","-1,392"
,6月,,Jun,"16,235","4,210","6,594","41,775","35,181","-2,384","12,782",-757
,7月,,Jul,"11,982","1,889","5,014","42,993","37,980","-3,124","10,877",-784
,8月,,Aug,"12,878","4,064","6,429","45,091","38,661","-2,365","9,804",-991
,9月,,Sep,"10,972","1,385","3,540","46,795","43,254","-2,155","10,499",-912
,10月,,Oct,"16,043","6,034","9,164","48,972","39,808","-3,130","10,806",-798
