,,,,Total（a+b+c+ｄ),,,中央銀行,,,預金取扱機関,,,,,,,,,一般政府,,,その他部門,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Central bank (a),,,"Deposit-taking corporations,",,,銀行等（銀行勘定）,,,信託銀行（銀行勘定）,,,General government (c),,,Other sectors （d),,,その他金融機関,,,,,,,,,,,,,,,,,,,,,その他,,
,,,,,,,,,,except the central bank(b),,,Banks（banking accounts),,,Trust banks(banking accounts）,,,,,,,,,Other financial corporations,,,銀行等（信託勘定）,,,信託銀行（信託勘定）,,,金融商品取引業者,,,生命保険会社,,,損害保険会社,,,投資信託委託会社等,,,Others,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banks（trust accounts）,,,Trust banks（trust accounts）,,,Financial instruments firms,,,Life insurance companies,,,Non-life insurance companies,,,Investment trust management companies,,,,,
,,,,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット
,,,,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net
令和7年,,2025C.Y.,,"1,542,194","1,539,847","2,347",          --,          --,          --,"87,382","86,047","1,336","70,420","69,337","1,083","16,962","16,710",252,898,56,842,"1,453,913","1,453,744",169,"1,200,339","1,198,099","2,240",          --,2,-2,"460,166","527,802","-67,636","115,981","108,848","7,133","120,372","119,583",789,"8,436","5,374","3,062","495,384","436,490","58,895","253,574","255,645","-2,071"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（月次）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Monthly figures),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平成26年,1月,2014,Jan,"39,117","38,430",687,          --,          --,          --,"3,685","4,564",-878,"3,582","4,309",-727,103,255,-152,0,          --,0,"35,432","33,866","1,565","31,400","30,054","1,346",          --,          --,          --,"8,435","12,749","-4,315","3,397","2,265","1,133","3,414","3,857",-443,177,62,115,"15,977","11,121","4,856","4,032","3,813",219
,2月,,Feb,"34,240","37,432","-3,191",          --,          --,          --,"4,545","8,975","-4,430","4,479","8,875","-4,397",67,100,-34,0,          --,0,"29,695","28,457","1,239","27,286","24,561","2,725",          --,          --,          --,"8,183","8,373",-190,"3,290","2,317",972,"2,944","2,545",400,40,33,6,"12,830","11,293","1,536","2,409","3,895","-1,486"
,3月,,Mar,"40,539","42,552","-2,013",          --,          --,          --,"3,525","4,887","-1,362","3,281","4,680","-1,400",244,207,37,2,5,-3,"37,012","37,660",-648,"33,589","33,299",290,          --,          --,          --,"12,166","14,827","-2,661","2,535","1,859",676,"4,585","3,751",834,285,315,-30,"14,017","12,547","1,470","3,424","4,361",-937
,4月,,Apr,"46,484","41,484","5,000",          --,          --,          --,"9,260","7,954","1,306","8,814","7,879",934,446,75,371,2,0,1,"37,223","33,529","3,693","34,798","30,669","4,128",          --,          --,          --,"12,114","12,491",-377,"2,567","1,254","1,313","3,141","3,051",90,109,223,-114,"16,866","13,650","3,216","2,425","2,860",-435
,5月,,May,"42,489","38,140","4,349",          --,          --,          --,"5,792","4,088","1,704","5,702","4,036","1,667",90,52,38,4,5,-2,"36,693","34,047","2,646","34,306","31,289","3,017",          --,          --,          --,"14,936","13,524","1,412","2,251","1,471",780,"3,618","5,048","-1,430",107,81,26,"13,393","11,165","2,229","2,387","2,758",-371
,6月,,Jun,"44,220","38,360","5,860",          --,          --,          --,"4,479","3,146","1,332","4,388","3,027","1,361",91,119,-29,3,1,2,"39,738","35,212","4,526","35,734","31,738","3,995",          --,          --,          --,"10,865","11,122",-257,"2,723","2,400",323,"4,981","5,300",-319,174,156,18,"16,989","12,760","4,229","4,005","3,474",531
