tier,period,specification,variable,horizon,response,lower,upper
daily,extended,restricted,equity_pct,24,-0.03618773014344256,-0.04863315215892332,-0.018767861294836142
daily,extended,restricted,equity_pct,125,-0.0025247647620993217,-0.004170061062654206,0.002295679294040538
daily,extended,restricted,other_pct,0,0.01551086776480801,0.01551086776480801,0.01551086776480801
daily,extended,restricted,other_pct,1,0.034691853908062766,0.015259980774073447,0.05257054276902073
daily,extended,restricted,other_pct,3,0.08633706041075388,0.05243800874970433,0.11731219471485449
daily,extended,restricted,other_pct,6,0.10589846277258594,0.05391651735295545,0.15317798051866177
daily,extended,restricted,other_pct,12,0.14712911531040618,0.0754833935646747,0.20528311012044861
daily,extended,restricted,other_pct,24,0.07469117837285884,-0.007258330020336342,0.1364589818100241
daily,extended,restricted,other_pct,125,-0.0074126980132397085,-0.019369140899815108,0.0029139720740845977
daily,extended,restricted,direct_pct,0,0.0006078093385466526,0.0006078093385466526,0.0006078093385466526
daily,extended,restricted,direct_pct,1,0.0008303724952911611,-0.0008392197236874044,0.002550970455952881
daily,extended,restricted,direct_pct,3,0.0003528906923855987,-0.0028707045706447775,0.0034757932401568107
daily,extended,restricted,direct_pct,6,0.0012316036424043256,-0.003566300953014411,0.006086034884863575
daily,extended,restricted,direct_pct,12,0.0026122185569392472,-0.003962302426336286,0.009473937061378772
daily,extended,restricted,direct_pct,24,0.0003437096031901365,-0.007057700502625965,0.007284078509723887
daily,extended,restricted,direct_pct,125,0.0006446426367362213,-0.0004889337945053815,0.0019567964553115803
monthly,paper,restricted,risk_off,0,0.1192147881035942,0.1192147881035942,0.1192147881035942
monthly,paper,restricted,risk_off,1,0.0565892601636985,0.03769554199714865,0.06858567156464032
monthly,paper,restricted,risk_off,3,-0.0054458695437749755,-0.022410329733160754,0.004578115005359409
monthly,paper,restricted,risk_off,6,0.00016892261490800554,-0.00786604765681593,0.005816251701776593
monthly,paper,restricted,risk_off,12,-9.491562862038464e-07,-0.003821177039823046,0.0020109017507713833
monthly,paper,restricted,risk_off,24,-4.377322701787256e-11,-0.0012829017987810922,0.0011749155673854506
monthly,paper,restricted,risk_off,40,1.3183743750934413e-17,-0.0005677900401498996,0.0005905256135180691
monthly,paper,restricted,log_wui,0,0.007255442917004849,0.007255442917004849,0.007255442917004849
monthly,paper,restricted,log_wui,1,0.012236778488440639,-0.0059490947284740895,0.02951721711023094
monthly,paper,restricted,log_wui,3,0.034265987463907674,-0.016461087681943987,0.07860733931222971
monthly,paper,restricted,log_wui,6,0.049597351141364376,-0.003458863343151793,0.09247594858899537
monthly,paper,restricted,log_wui,12,-0.00534068540133093,-0.04045304723187795,0.019506984489318962
monthly,paper,restricted,log_wui,24,-0.002326051507889157,-0.01858870727086711,0.010917912671301735
monthly,paper,restricted,log_wui,40,0.00023769948253815013,-0.007362552697242163,0.0070008842622358205
monthly,paper,restricted,spread,0,0.02372278186092881,0.02372278186092881,0.02372278186092881
monthly,paper,restricted,spread,1,0.07405145313609872,0.05299400680849947,0.09181370913536481
monthly,paper,restricted,spread,3,0.11515421636629854,0.07061007221018946,0.14494961721896257
monthly,paper,restricted,spread,6,0.08797856753488664,0.037025736321654935,0.11592948812152556
monthly,paper,restricted,spread,12,0.05443389780793435,0.0019698980739722683,0.07846871680417969
monthly,paper,restricted,spread,24,0.017741053429910857,-0.020016304282778435,0.0405578219171992
monthly,paper,restricted,spread,40,0.0026821915667458313,-0.019761455500695132,0.020717429496674978
monthly,paper,restricted,log_rgdp,0,-3.6334477968754454e-05,-3.6334477968754454e-05,-3.6334477968754454e-05
monthly,paper,restricted,log_rgdp,1,-0.001520918869421566,-0.0024295107218435044,-0.0006009378576688247
monthly,paper,restricted,log_rgdp,3,-0.003979629768520468,-0.005377911614643032,-0.002439700554448766
monthly,paper,restricted,log_rgdp,6,-0.002620571181006669,-0.003710242827781156,-0.000749799924786611
monthly,paper,restricted,log_rgdp,12,-0.002168974300122382,-0.002992430083917412,-0.00010356334302188311
monthly,paper,restricted,log_rgdp,24,-0.0010580048910159205,-0.0015593465337758962,0.00034869483689182573
monthly,paper,restricted,log_rgdp,40,-0.00038963734651924827,-0.0008228925432445505,0.0003646520665919273
monthly,paper,restricted,log_reer,0,0.00533229508093743,0.00533229508093743,0.00533229508093743
monthly,paper,restricted,log_reer,1,0.010392660747832193,0.007599286418207398,0.012735917404061442
monthly,paper,restricted,log_reer,3,0.011970760098212845,0.005631589213219691,0.016394607135883147
monthly,paper,restricted,log_reer,6,0.009134785583091672,0.002159664924412409,0.01353290439938945
monthly,paper,restricted,log_reer,12,0.005050385611369853,-0.002661761377369687,0.008683188932165064
monthly,paper,restricted,log_reer,24,0.0017935889146018997,-0.00357379958933548,0.004585984898712327
monthly,paper,restricted,log_reer,40,0.0008058916966272345,-0.002099541720350149,0.002780404711705345
monthly,paper,restricted,log_nikkei,0,-0.02096701529526913,-0.02096701529526913,-0.02096701529526913
monthly,paper,restricted,log_nikkei,1,-0.02343110702960692,-0.029011174528870618,-0.01590400208891089
